1, 2021-09-13T10:15:30, Иванов Иван, +375 29 999 78 90, Не включается свет
2, 2021-12-22T11:38:16, Петров Петр, +375257777765, Почему опять не работает интернет?
3, 2021-12-28T06:55:24, Петров Петр, 333652193, Кто-то оборвал мне телефонный кабель
4, 2021-09-13T10:15:30, Иванов Иван, +375 29 999 78 90, Не включается свет
5, 2021-12-22T11:38:16, Петров Петр, +375257777765, Почему опять не работает интернет?
6, 2021-12-28T06:55:24, Петров Петр, 333652193, Кто-то оборвал мне телефонный кабель
7, 2021-09-13T10:15:30, Иванов Иван, +375 29 999 78 90, Не включается свет
8, 2021-12-22T11:38:16, Петров Петр, +375257777765, Почему опять не работает интернет?
9, 2021-12-28T06:55:24, Петров Петр, 333652193, Кто-то оборвал мне телефонный кабель
10, 2021-09-13T10:15:30, Иванов Иван, +375 29 999 78 90, Не включается свет
11, 2021-12-22T11:38:16, Петров Петр, +375257777765, Почему опять не работает интернет?
12, 2021-12-28T06:55:24, Петров Петр, 333652193, Кто-то оборвал мне телефонный кабель
13, 2021-09-13T10:15:30, Иванов Иван, +375 29 999 78 90, Не включается свет
14, 2021-12-22T11:38:16, Петров Петр, +375257777765, Почему опять не работает интернет?
15, 2021-12-28T06:55:24, Петров Петр, 333652193, Кто-то оборвал мне телефонный кабель
